instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran,decision_phase_AFC.thisRepN,decision_phase_AFC.thisTrialN,decision_phase_AFC.thisN,decision_phase_AFC.thisIndex,decision_phase_AFC.ran,blockN,BlockLabel1,questIm1,BlockLabel2,questIm2,BlockLabel3,questIm3,quest_condition,showForcedChoice.thisRepN,showForcedChoice.thisTrialN,showForcedChoice.thisN,showForcedChoice.thisIndex,showForcedChoice.ran
0.376851852,-0.407407407,1,0,0,instruction_button,0,0,0,0,1,images/instructions_part1_LSM_taskversion1/Slide1.JPG,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.357407407,-0.401851852,1,0,0,instruction_button,0,1,1,1,1,images/instructions_part1_LSM_taskversion1/Slide2.JPG,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.440740741,-0.411111111,1,0,0,instruction_button,0,2,2,2,1,images/instructions_part1_LSM_taskversion1/Slide3.JPG,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.407407407,-0.397222222,1,0,0,instruction_button,0,3,3,3,1,images/instructions_part1_LSM_taskversion1/Slide3.5.JPG,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.407407407,-0.396296296,1,0,0,instruction_button,0,4,4,4,1,images/instructions_part1_LSM_taskversion1/Slide4.JPG,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.458333333,-0.414814815,1,0,0,instruction_button,0,5,5,5,1,images/instructions_part1_LSM_taskversion1/Slide6.5.JPG,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,"[""left"",""left"",""left"",""right"",""right""]","[10.353300000011927,11.21180000001192,11.602000000000004,12.008599999964247,12.830000000000013]",,calibration,No Brainslug No Barriers No Money,1,100,12.937,5,0,458,TRUE,na,na,na,na,0,0,0,0,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,"[""left"",""left"",""right"",""right"",""right"",""right"",""up"",""left"",""left"",""up"",""right"",""right""]","[2.198600000023845,2.7414000000357532,3.3338000000119337,3.673000000000002,4.091900000035764,4.637200000047699,5.404200000047695,6.113200000047698,6.670400000035755,6.953900000035759,7.340300000011922,7.798600000023839]",,calibration,No Brainslug No Barriers No Money,2,100,8.323,9,0,180,TRUE,na,na,na,na,0,1,1,2,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,"[""left"",""left"",""left"",""left"",""left"",""left""]","[0.9890000000000043,2.7477999999523206,3.2222999999523267,3.6228999999761697,4.498899999976146,4.806399999976151]",,calibration,No Brainslug No Barriers No Money,3,100,5.3203,3,0,0,TRUE,na,na,na,na,0,2,2,1,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.499074074,-0.407407407,1,0,0,instruction_button,,,,,,images/instructions_part2_LSM_taskversion3.jpg,57b18b64f6b9390001af1e05,001,3,2025-04-15_07h08.26.086,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.52380952,57b18b64f6b9390001af1e05,67fe37cb3bd870bba73819bd,67fe491c3e55fc59c12a3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
