instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran,decision_phase_AFC.thisRepN,decision_phase_AFC.thisTrialN,decision_phase_AFC.thisN,decision_phase_AFC.thisIndex,decision_phase_AFC.ran,blockN,BlockLabel1,questIm1,BlockLabel2,questIm2,BlockLabel3,questIm3,quest_condition
0.412037037,-0.398148148,1,0,0,instruction_button,0,0,0,0,1,images/instructions_part1_LSM_taskversion1/Slide1.JPG,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.412037037,-0.398148148,1,0,0,instruction_button,0,1,1,1,1,images/instructions_part1_LSM_taskversion1/Slide2.JPG,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.412037037,-0.398148148,1,0,0,instruction_button,0,2,2,2,1,images/instructions_part1_LSM_taskversion1/Slide3.JPG,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.412037037,-0.398148148,1,0,0,instruction_button,0,3,3,3,1,images/instructions_part1_LSM_taskversion1/Slide3.5.JPG,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.412037037,-0.398148148,1,0,0,instruction_button,0,4,4,4,1,images/instructions_part1_LSM_taskversion1/Slide4.JPG,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.412037037,-0.398148148,1,0,0,instruction_button,0,5,5,5,1,images/instructions_part1_LSM_taskversion1/Slide6.5.JPG,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,"[""down"",""left"",""left"",""right"",""right"",""right""]","[2.9439999999999884,3.8759999999999764,4.3870000000000005,5.003999999999991,5.60299999999998,6.151999999999987]",,calibration,No Brainslug No Barriers No Money,1,100,6.493,5,0,66,TRUE,na,na,na,na,0,0,0,1,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,"[""left"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left""]","[0.835000000000008,1.1200000000000045,1.445999999999998,2.201999999999998,2.5630000000000166,2.9180000000000064,3.2530000000000143,3.5020000000000095,5.00800000000001]",,calibration,No Brainslug No Barriers No Money,2,100,5.44,7,0,0,TRUE,na,na,na,na,0,1,1,2,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,"[""left"",""right"",""right"",""right"",""right"",""right""]","[8.158000000000015,9.105000000000018,9.487000000000023,9.77200000000002,10.12100000000001,10.38900000000001]",,calibration,No Brainslug No Barriers No Money,3,100,10.445,3,0,313,TRUE,na,na,na,na,0,2,2,0,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.367989056,-0.411080711,1,0,0,instruction_button,,,,,,images/instructions_part2_LSM_taskversion3.jpg,66a66d138294ce022ab541fe,001,3,2024-10-09_12h25.15.335,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.0240096,66a66d138294ce022ab541fe,62bca317d87d479cda00ba3d,6706ac6110c47621d1ac73e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
