instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran
0.393055556,-0.393055556,1,0,0,instruction_button,0,0,0,0,1,images/instructions_part1_LSM_taskversion1/Slide1.JPG,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.363888889,-0.403472222,1,0,0,instruction_button,0,1,1,1,1,images/instructions_part1_LSM_taskversion1/Slide2.JPG,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379861111,-0.419444444,1,0,0,instruction_button,0,2,2,2,1,images/instructions_part1_LSM_taskversion1/Slide3.JPG,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.369444444,-0.418055556,1,0,0,instruction_button,0,3,3,3,1,images/instructions_part1_LSM_taskversion1/Slide3.5.JPG,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.369444444,-0.418055556,1,0,0,instruction_button,0,4,4,4,1,images/instructions_part1_LSM_taskversion1/Slide4.JPG,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.369444444,-0.418055556,1,0,0,instruction_button,0,5,5,5,1,images/instructions_part1_LSM_taskversion1/Slide6.5.JPG,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,"[""left""]",[2.869199999988041],,calibration,No Brainslug No Barriers No Money,1,100,5.4009,1,0,6,TRUE,na,na,na,na,0,0,0,1,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,"[""right"",""left"",""left"",""right"",""right"",""right""]","[0.15759999999403362,2.4265000000000327,3.995199999988074,5.2287999999970225,5.98039999999105,6.380599999994047]",,calibration,No Brainslug No Barriers No Money,2,100,6.4475,5,0,63,TRUE,na,na,na,na,0,1,1,0,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,"[""left"",""left"",""left""]","[2.391999999999996,3.7345000000000255,4.963599999994074]",,calibration,No Brainslug No Barriers No Money,3,100,5.3865,3,0,0,TRUE,na,na,na,na,0,2,2,2,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,-0.413888889,1,0,0,instruction_button,,,,,,images/instructions_part2_LSM_taskversion3.jpg,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
