instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran,decision_phase_AFC.thisRepN,decision_phase_AFC.thisTrialN,decision_phase_AFC.thisN,decision_phase_AFC.thisIndex,decision_phase_AFC.ran,blockN,BlockLabel1,questIm1,BlockLabel2,questIm2,BlockLabel3,questIm3,quest_condition,showForcedChoice.thisRepN,showForcedChoice.thisTrialN,showForcedChoice.thisN,showForcedChoice.thisIndex,showForcedChoice.ran
0.433333362,-0.412962949,1,0,0,instruction_button,0,0,0,0,1,images/instructions_part1_LSM_taskversion1/Slide1.JPG,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.374074159,-0.402777778,1,0,0,instruction_button,0,1,1,1,1,images/instructions_part1_LSM_taskversion1/Slide2.JPG,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.384259259,-0.39907406,1,0,0,instruction_button,0,2,2,2,1,images/instructions_part1_LSM_taskversion1/Slide3.JPG,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.384259259,-0.39907406,1,0,0,instruction_button,0,3,3,3,1,images/instructions_part1_LSM_taskversion1/Slide3.5.JPG,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.384259259,-0.398148148,1,0,0,instruction_button,0,4,4,4,1,images/instructions_part1_LSM_taskversion1/Slide4.JPG,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.384259259,-0.398148148,1,0,0,instruction_button,0,5,5,5,1,images/instructions_part1_LSM_taskversion1/Slide6.5.JPG,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,"[""left"",""right"",""left"",""left"",""right"",""right"",""left""]","[2.451000000000022,2.5197000000002276,3.0001000000006,3.4085000000000036,3.8342000000001804,4.633900000000381,4.837100000000589]",,calibration,No Brainslug No Barriers No Money,1,100,5.3721,7,0,14,TRUE,na,na,na,na,0,0,0,1,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,"[""up"",""up"",""up"",""down"",""left"",""right"",""left"",""right"",""right"",""left"",""up"",""left"",""up"",""up"",""up"",""up"",""right"",""right""]","[0.5730000000000359,1.0883999999994671,1.3550000000000182,2.0547999999998297,2.7737999999998237,2.955299999999852,3.3795000000000073,4.010000000000048,4.5408999999994535,5.339199999999266,5.6041999999993095,6.54200000000003,6.612399999999468,6.910899999999458,7.356099999999628,7.624000000000024,7.930799999999863,8.244899999999461]",,calibration,No Brainslug No Barriers No Money,2,100,8.3439,9,0,177,TRUE,na,na,na,na,0,1,1,0,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,"[""right"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""up"",""right"",""up"",""left"",""up"",""up"",""right"",""up"",""up"",""up"",""up"",""right"",""right"",""left"",""left"",""right"",""right""]","[0.11990000000037071,0.630300000000716,1.1444999999999936,1.4277000000001863,1.8951000000005251,2.2029000000003407,2.4869999999999663,3.1278000000007182,3.727800000000741,3.9681000000005042,4.310999999999979,4.644800000000714,5.296400000000347,5.911600000000533,5.913300000000731,6.550600000000543,7.311100000000522,7.710999999999956,8.26649999999995,8.337700000000154,9.360800000000722,9.894100000000549,10.111200000000167,10.448400000000333,10.704999999999984,11.898800000000733,12.111100000000533,12.710700000000145,13.287400000000332]",,calibration,No Brainslug No Barriers No Money,3,100,13.6971,13,0,503,TRUE,na,na,na,na,0,2,2,2,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.363888917,-0.402777778,1,0,0,instruction_button,,,,,,images/instructions_part2_LSM_taskversion3.jpg,67fa651c5c58b6c6be02eede,001,3,2025-04-15_07h00.44.388,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.24096386,67fa651c5c58b6c6be02eede,67fe37cb3bd870bba73819bd,67fe3a1a6112e334bf3f4eae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
