instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran,decision_phase_AFC.thisRepN,decision_phase_AFC.thisTrialN,decision_phase_AFC.thisN,decision_phase_AFC.thisIndex,decision_phase_AFC.ran,blockN,BlockLabel1,questIm1,BlockLabel2,questIm2,BlockLabel3,questIm3,quest_condition,showForcedChoice.thisRepN,showForcedChoice.thisTrialN,showForcedChoice.thisN,showForcedChoice.thisIndex,showForcedChoice.ran
0.428385417,-0.403645833,1,0,0,instruction_button,0,0,0,0,1,images/instructions_part1_LSM_taskversion1/Slide1.JPG,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428385417,-0.403645833,1,0,0,instruction_button,0,1,1,1,1,images/instructions_part1_LSM_taskversion1/Slide2.JPG,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428385417,-0.403645833,1,0,0,instruction_button,0,2,2,2,1,images/instructions_part1_LSM_taskversion1/Slide3.JPG,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428385417,-0.403645833,1,0,0,instruction_button,0,3,3,3,1,images/instructions_part1_LSM_taskversion1/Slide3.5.JPG,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428385417,-0.403645833,1,0,0,instruction_button,0,4,4,4,1,images/instructions_part1_LSM_taskversion1/Slide4.JPG,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428385417,-0.403645833,1,0,0,instruction_button,0,5,5,5,1,images/instructions_part1_LSM_taskversion1/Slide6.5.JPG,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,"[""left"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right""]","[1.5824999999999818,2.0380999999940173,3.0511999999955037,3.4526999999955024,3.852999999999952,4.0687999999969975,4.569999999999993,4.960799999996993,5.177399999998499,5.551499999999976]",,calibration,No Brainslug No Barriers No Money,1,100,5.6934,9,0,17,TRUE,na,na,na,na,0,0,0,1,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,"[""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right""]","[0.8162000000029934,1.285000000000025,1.8921000000015056,2.6983999999985144,3.182700000003024,3.383600000001536,3.5666000000015288,3.7350000000000136,4.133700000002989,5.097000000000037,5.376500000000021,5.610100000001523]",,calibration,No Brainslug No Barriers No Money,2,100,5.7063,8,0,20,TRUE,na,na,na,na,0,1,1,2,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,"[""right"",""left"",""right"",""left"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right""]","[0.18829999999701386,0.557100000001526,1.0886000000015201,1.6375000000000455,1.9447000000030243,2.5447999999970534,2.724200000003009,2.9399999999999977,3.460700000002987,3.6586000000015133,3.852899999998556,4.079299999997033,4.322499999999991,4.534200000003011,4.811200000002998,5.1176000000015165,5.26779999999701]",,calibration,No Brainslug No Barriers No Money,3,100,5.415,12,0,6,TRUE,na,na,na,na,0,2,2,0,1,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,calibration,10,images/assets/success.jpg,images/assets/gameover.jpg,never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4453125,-0.385416667,1,0,0,instruction_button,,,,,,images/instructions_part2_LSM_taskversion3.jpg,67fb8746a1f516fb0e54cfda,001,3,2025-04-15_07h07.24.532,avatar_quest_3AFC_legacy,2022.1.3,Win32,60.97560976,67fb8746a1f516fb0e54cfda,67fe37cb3bd870bba73819bd,67fe3b3a022cce8a95a1808e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
